	date	quantity	goods	goods_cluster	amount	unit	year
4023	22 dec. 1638	1620 balen	sijde	sijde	324000	lb.	1638
4024	22 dec. 1638	320 balen	indigo	indigo	64000	lb.	1638
4025	22 dec. 1638	23 packen	indigo	indigo	23	pakken	1638
4026	22 dec. 1638	850 balen	zijde	zijde	170000	lb.	1638
4027	22 dec. 1638	400 carga	zijde	zijde	169200	lb.	1638
4028	22 dec. 1638	800 balen	zijde	zijde	160000	lb.	1638
4033	22 dec. 1638	200 picols	peper	peper	25000	lb.	1638
4034	22 dec. 1638	4000 picol	peper	peper	500000	lb.	1638
4037	22 dec. 1638	60 lasten	rijs	rijst	150000	lb.	1638
4044	22 dec. 1638	110 lasten	rijs	rijst	275000	lb.	1638
4045	22 dec. 1638	13 lasten	rijs	rijst	32500	lb.	1638
4046	22 dec. 1638	150 lasten	rijs	rijst	375000	lb.	1638
4047	22 dec. 1638	600	padij	padij	600		1638
4052	22 dec. 1638	2880 picols	peper	peper	360000	lb.	1638
4061	22 dec. 1638	2 bhaar	peper	peper	1000	lb.	1638
4062	22 dec. 1638	480	peper	peper	480		1638
4063	22 dec. 1638	400 packen	indigo	indigo	400	pakken	1638
4070	30 nov. 1702	500	peper	peper	500		1702
4075	11 dec. 1679	20 stux	slaven	slaven	20	stuks	1679
4076	11 dec. 1679	15	slaven	slaven	15		1679
4077	11 dec. 1679	110 bharen	thin	thin	55000	lb.	1679
4078	11 dec. 1679	81 bharen	thin	thin	40500	lb.	1679
4079	11 dec. 1679	30 bharen	thin	thin	15000	lb.	1679
4080	11 dec. 1679	150 lasten	rijs	rijst	375000	lb.	1679
4089	7 febr. 1676	78 packen	salpeter	salpeter	78	pakken	1676
4092	7 febr. 1676	69330 ®	thin	thin	69330		1676
4095	18 febr. 1715	300 cargas	zijde	zijde	126900	lb.	1715
4098	16 jan. 1658	11 000 picols	peper	peper	11		1658
4104	16 jan. 1658	170 p.01	peper	peper	21250	lb.	1658
4108	16 jan. 1658	23 667.10.15	peper	peper	23		1658
4110	16 jan. 1658	200 lasten	peeper	peper	500000	lb.	1658
4111	16 jan. 1658	2000 lasten	peeper	peper	5000000	lb.	1658
4112	24 dec. 1655	220 927 ®	nagelen	nagelen	220		1655
4113	24 dec. 1655	22\lasten	rijs	rijst	22		1655
4115	24 dec. 1655	110 lasten	rijs	rijst	275000	lb.	1655
4121	24 dec. 1655	650 picol	peper	peper	81250	lb.	1655
4122	24 dec. 1655	45 bhar	peper	peper	22500	lb.	1655
4123	24 dec. 1655	700 bharen	peper	peper	350000	lb.	1655
4124	24 dec. 1655	1500 bharen	peper	peper	750000	lb.	1655
4125	24 dec. 1655	7000 p.1	sappanhout	sappanhout	875000	lb.	1655
4134	24 dec. 1655	300 lasten	rijs	rijst	750000	lb.	1655
4135	24 dec. 1655	200 lasten	rijs	rijst	500000	lb.	1655
4138	24 dec. 1655	50 bhar	salpeter	salpeter	25000	lb.	1655
4140	24 dec. 1655	658 picol	peper	peper	82250	lb.	1655
4147	24 dec. 1655	20 lasten	rijs	rijst	50000	lb.	1655
4149	24 dec. 1655	100 stucx	slaven	slaven	100	stuks	1655
4153	31 januari 1730	1200 man	thin	thin	60000	lb.	1730
4154	31 januari 1730	3	rijs	rijst	3		1730
4176	31 januari 1730	250 lb	indigo	indigo	250	lb.	1730
4179	31 januari 1730	5 lb	zijde	zijde	5	lb.	1730
4185	22 dec. 1643	360 balen	sijde	sijde	72000	lb.	1643
4187	22 dec. 1643	500 balen	sijde	sijde	100000	lb.	1643
4188	22 dec. 1643	500 balen	zijde	zijde	100000	lb.	1643
4189	22 dec. 1643	478 balen	zijde	zijde	95600	lb.	1643
4191	22 dec. 1643	477000	peper	peper	477000		1643
4192	22 dec. 1643	235000	peper	peper	235000		1643
4194	22 dec. 1643	500 balen	zijde	zijde	100000	lb.	1643
4197	22 dec. 1643	ruym 400 balen	zijde	zijde	80000	lb.	1643
4203	22 dec. 1643	100 kisten	silver	silver	100	kisten	1643
4210	22 dec. 1643	193 kisten	silver	silver	193	kisten	1643
4211	22 dec. 1643	300 lasten	peper	peper	750000	lb.	1643
4215	22 dec. 1643	600 picols	zijde	zijde	75000	lb.	1643
4216	22 dec. 1643	478 balen	zijde	zijde	95600	lb.	1643
4217	30 nov. 1640	4000 quintalen	peper	peper	400000	lb.	1640
4218	30 nov. 1640	150 balen	sijde	sijde	30000	lb.	1640
4219	30 nov. 1640	400 balen	sijde	sijde	80000	lb.	1640
4220	30 nov. 1640	113082	sijde	sijde	113082		1640
4221	30 nov. 1640	150 carge	sijde	sijde	63450	lb.	1640
4222	30 nov. 1640	450 balen	sijde	sijde	90000	lb.	1640
4223	30 nov. 1640	1000 picols	peper	peper	125000	lb.	1640
4226	30 nov. 1640	3000 picols	peper	peper	375000	lb.	1640
4228	31 december 1760	868 soekels	foelij	foelij	139748	lb.	1760
4232	31 december 1760	20 soekels	foelij	foelij	3220	lb.	1760
4249	31 december 1760	7 stux	slaven	slaven	7	stuks	1760
4269	31 december 1760	725.116 lb.	sappanhout	sappanhout	725116	lb.	1760
4299	31 december 1760	3.696	foelij	foelij	3696		1760
4397	31 december 1760	200 „	indigo	indigo	200		1760
4403	31 december 1760	4,-9240 lb.	foelij	foelij	4,		1760
4440	31 december 1760	797.388 lb.	peper	peper	797388	lb.	1760
4442	31 december 1760	40 lb.	indigo	indigo	40	lb.	1760
4454	31 december 1760	3080	foelij	foelij	3080		1760
4468	31 december 1760	1.568.932 4375 lb. lasten lb.	rijst	rijst	1568		1760
4475	31 december 1760	10.375	indigo	indigo	10375		1760
4517	31 januari 1739	66 1§ lb.	rijst	rijst	66		1739
4521	31 januari 1739	60 thonnen	silver	silver	120000	lb.	1739
4524	31 januari 1739	1000 balen	canneel	kaneel	200000	lb.	1739
4526	31 januari 1739	647 balen	canneel	kaneel	129400	lb.	1739
4530	31 januari 1739	circa 600 lasten	rijst	rijst	1500000	lb.	1739
4533	31 januari 1739	740	koper	koper	740		1739
4543	31 januari 1739	1000	rijst	rijst	1000		1739
4544	31 januari 1739	1000 coyangs lasten	rijst	rijst	1625000	lb.	1739
4550	6 jan. 1632	2640 picols	gout	goud	330000	lb.	1632
4551	6 jan. 1632	1500 bharen	nagelen	nagelen	750000	lb.	1632
4553	6 jan. 1632	25 bhaaren	nagelen	nagelen	12500	lb.	1632
4554	6 jan. 1632	400 bhaer	nagelen	nagelen	200000	lb.	1632
4574	15 oktober 1758	60.000	foelij	foelij	60000		1758
4575	15 oktober 1758	6.000.000 lb.	peeper	peper	6000		1758
4578	13 febr. 1679	16 p.18	peper	peper	2000	lb.	1679
4583	13 febr. 1679	400 ®	thin	thin	400		1679
4586	13 febr. 1679	10 lasten	rijs	rijst	25000	lb.	1679
4587	13 febr. 1679	33300 man	salpeter	salpeter	1665000	lb.	1679
4589	13 febr. 1679	6600	salpeter	salpeter	6600		1679
4590	13 febr. 1679	30000 man	salpeter	salpeter	1500000	lb.	1679
4591	13 febr. 1679	264 lasten	rijs	rijst	660000	lb.	1679
4602	13 nov. 1673	100 candijlen	peper	peper	50000	lb.	1673
4603	5 febr. 1652	500 tail	silver	silver	37.5	lb.	1652
4604	15 jan. 1717	500	slaven	slaven	500		1717
4612	25 januari 1738	500.000 stuks	zijde	zijde	500000	stuks	1738
4615	25 januari 1738	30	slaven	slaven	30		1738
4618	25 januari 1738	3000 lasten	rijst	rijst	7500000	lb.	1738
4622	6 dec. 1698	500 lasten	rijs	rijst	1250000	lb.	1698
4624	6 dec. 1698	300 lasten	rijs	rijst	750000	lb.	1698
4627	6 november 1741	5 lasten	rijst	rijst	12500	lb.	1741
4628	6 november 1741	6 lasten	rijst	rijst	15000	lb.	1741
4629	6 november 1741	4275 picols	sappanhout	sappanhout	534375	lb.	1741
4630	6 november 1741	10.425 picols	sappanhout	sappanhout	1303125	lb.	1741
4634	6 november 1741	19.332 ponden	thin	thin	19332	lb.	1741
4644	6 november 1741	40.000 lb.	salpeter	salpeter	40000	lb.	1741
4652	6 november 1741	800 bharen	peeper	peper	400000	lb.	1741
4658	6 november 1741	9850 ponden	peeper	peper	9850	lb.	1741
4661	6 november 1741	197.000 ponden	peeper	peper	197000	lb.	1741
4663	6 november 1741	4000 ponden	canneel	kaneel	4000	lb.	1741
4664	6 november 1741	197.000 ponden	peeper	peper	197000	lb.	1741
4667	6 november 1741	68	foelij	foelij	68		1741
4668	6 november 1741	160	canneel	kaneel	160		1741
4673	6 november 1741	20 lasten	rijst	rijst	50000	lb.	1741
4678	6 november 1741	152 lasten	rijst	rijst	380000	lb.	1741
4679	6 november 1741	4.688.9334 lb.	rijst	rijst	4688		1741
4680	6 november 1741	3655 lb.	indigo	indigo	3655	lb.	1741
4692	6 november 1741	2 lasten	rijst	rijst	5000	lb.	1741
4694	6 november 1741	75 lasten	rijst	rijst	187500	lb.	1741
4695	6 november 1741	1000 coyangs	rijst	rijst	1625000	lb.	1741
4696	6 november 1741	44 lasten	rijst	rijst	110000	lb.	1741
4697	6 november 1741	1000 lasten	rijst	rijst	2500000	lb.	1741
4700	6 november 1741	50 lasten	rijst	rijst	125000	lb.	1741
4704	6 november 1741	306.666§ lb.	rijst	rijst	306666		1741
4718	6 november 1741	68.084|144.181 lb.	thee	thee	68084		1741
4723	6 november 1741	1456 picols	sappanhout	sappanhout	182000	lb.	1741
4748	15 dec. 1669	800	slaven	slaven	800		1669
4749	15 dec. 1669	1600 lasten	peper	peper	4000000	lb.	1669
4750	16 jan. 1678	500000	thin	thin	500000		1678
4753	9 sept. 1640	200 lasten	peper	peper	500000	lb.	1640
4754	9 sept. 1640	6000 picols	peper	peper	750000	lb.	1640
4757	9 sept. 1640	800 000 ®	nagelen	nagelen	800		1640
4758	9 sept. 1640	8000 picols	peper	peper	1000000	lb.	1640
4759	9 sept. 1640	100 000 tayl	silver	silver	100		1640
4764	9 juli 1621	70 baharen	peper	peper	35000	lb.	1621
4769	9 juli 1621	34 catty	peper	peper	42.5	lb.	1621
4770	9 juli 1621	600 lasten	rijs	rijst	1500000	lb.	1621
4805	28 november 1737	200 bharen	thin	thin	100000	lb.	1737
4806	28 november 1737	200 bharen	thin	thin	100000	lb.	1737
4816	28 november 1737	50	slaven	slaven	50		1737
4837	6 juni 1752	8000 lb.	sijde	sijde	8000	lb.	1752
4847	31 jan. 1669	150 bharen	peper	peper	75000	lb.	1669
4854	31 dec. 1647	286 lasten	rijs	rijst	715000	lb.	1647
4864	31 dec. 1647	8 tonnen	gout	goud	16000	lb.	1647
4865	31 dec. 1647	42 balen	sijde	sijde	8400	lb.	1647
4869	31 dec. 1647	200 picol	peper	peper	25000	lb.	1647
4870	31 dec. 1647	52 kisten	silver	silver	52	kisten	1647
4876	31 dec. 1647	80 000 tailen	silver	silver	80		1647
4877	31 dec. 1647	400 picol	sijde	sijde	50000	lb.	1647
4878	31 dec. 1647	10 kisten	silver	silver	10	kisten	1647
4880	31 dec. 1647	643 picol	sijde	sijde	80375	lb.	1647
4881	31 dec. 1647	2700 tayl	silver	silver	202.5	lb.	1647
4887	31 dec. 1647	23 stucs	peper	peper	23	stuks	1647
4891	31 dec. 1647	500 lasten	peper	peper	1250000	lb.	1647
4892	31 maart 1721	6	slaven	slaven	6		1721
4898	30 sept. 1676	150 teylen	gout	goud	11.25	lb.	1676
4899	30 sept. 1676	80 teylen	gout	goud	6.0	lb.	1676
4905	30 sept. 1676	200 stux	slaven	slaven	200	stuks	1676
4907	30 sept. 1676	3000 candyll	peper	peper	1500000	lb.	1676
4927	31 december 1750	500 last	rijst	rijst	1250000	lb.	1750
4936	31 december 1750	200 lasten	rijst	rijst	500000	lb.	1750
4941	31 december 1750	109 gantings	rijst	rijst	1449.7	lb.	1750
4942	31 december 1750	27.235	padij	padij	27235		1750
4944	31 december 1750	65 gantangs	rijst	rijst	864.5	lb.	1750
4945	31 december 1750	295 gantangs	rijst	rijst	3923.5	lb.	1750
4956	31 december 1750	101.250,- lb.	peeper	peper	101250		1750
4957	31 december 1750	met100.000 lb.	thin	thin	100000	lb.	1750
4958	31 december 1750	20.250 lb.	peeper	peper	20250	lb.	1750
4959	31 december 1750	500.000 lb.	thin	thin	500000	lb.	1750
4960	31 december 1750	467.062 lb.	peper	peper	467062	lb.	1750
4963	31 december 1750	87.500 lb.	peeper	peper	87500	lb.	1750
4964	31 december 1750	588.562 lb.	thin	thin	588562	lb.	1750
4965	31 december 1750	758.977 lb.	peeper	peper	758977	lb.	1750
4970	31 december 1750	51.024 lb.	thin	thin	51024	lb.	1750
4971	31 december 1750	700.000 lb.	sappanhout	sappanhout	700000	lb.	1750
4973	31 december 1750	100 lb.	goud	goud	100	lb.	1750
4977	31 december 1750	5200 picols	thee	thee	650000	lb.	1750
4981	31 december 1750	4800 picols	thee	thee	600000	lb.	1750
4990	31 december 1750	153 sacken	peper	peper	153	zakken	1750
4996	31 december 1750	440.500,- lb.	thin	thin	440500		1750
5000	31 december 1750	1889,- lb.	zijde	zijde	1889,		1750
5007	31 december 1750	649^ thailen	goud	goud	649		1750
5011	31 december 1750	389	peper	peper	389		1750
5042	31 december 1750	150 lasten	rijst	rijst	375000	lb.	1750
5043	31 december 1750	4673^ last	rijst	rijst	4673		1750
5046	31 december 1750	4670 lb.	indigo	indigo	4670	lb.	1750
5053	31 december 1750	35 coyangs	rijst	rijst	56875	lb.	1750
5054	31 december 1750	ƒ2.001.148,15,8	rijst	rijst	2001		1750
5055	31 december 1750	400 lasten	rijst	rijst	1000000	lb.	1750
5056	31 december 1750	60 lasten	padij	padij	150000	lb.	1750
5060	31 december 1750	6750 lb.	indigo	indigo	6750	lb.	1750
5066	31 december 1750	968.199 lb.	thin	thin	968199	lb.	1750
5069	31 december 1750	9302 lb.	indigo	indigo	9302	lb.	1750
5073	31 december 1750	518.312 lb.	thin	thin	518312	lb.	1750
5074	31 december 1750	888.250 lb.	peper	peper	888250	lb.	1750
5075	31 december 1750	11 19 lb.	zijde	zijde	11		1750
5076	31 december 1750	17.500 lb.	koper	koper	17500	lb.	1750
5077	31 december 1750	440 lb.	foelij	foelij	440	lb.	1750
5080	31 december 1750	49.000 lb.	canneel	kaneel	49000	lb.	1750
5094	23 maart 1730	26 kisten	nagelen	nagelen	26	kisten	1730
5098	23 maart 1730	80 picols lange	peper	peper	10000	lb.	1730
5099	23 maart 1730	70	goud	goud	70		1730
5101	7 nov. 1654	3 lasten	rijs	rijst	7500	lb.	1654
5105	7 nov. 1654	10 kisten	silver	silver	10	kisten	1654
5107	7 nov. 1654	1500 picol	peper	peper	187500	lb.	1654
5108	7 nov. 1654	1000 p.1	peper	peper	125000	lb.	1654
5109	7 nov. 1654	35 bharen	thin	thin	17500	lb.	1654
5111	7 nov. 1654	100 p.1	peper	peper	12500	lb.	1654
5120	30 nov. 1704	29	slaven	slaven	29		1704
5128	25 jan. 1667	680 picol	sappanhout	sappanhout	85000	lb.	1667
5134	25 jan. 1667	680 picols	sappanhout	sappanhout	85000	lb.	1667
5138	25 jan. 1667	3000 lasten	salpeter	salpeter	7500000	lb.	1667
5139	25 jan. 1667	1000 lasten	zijde	zijde	2500000	lb.	1667
5141	25 jan. 1667	149600 pont	salpeter	salpeter	149600	lb.	1667
5154	31 maart 1731	508.270 lb	sappanhout	sappanhout	508270	lb.	1731
5174	4 jan. 1644	600 stucx	slaven	slaven	600	stuks	1644
5175	4 jan. 1644	72 schuyten	gout	goud	72	schuit	1644
5178	14 dec. 1658	15 297 catty	peper	peper	15		1658
5179	14 dec. 1658	120 lasten	rijs	rijst	300000	lb.	1658
5181	14 dec. 1658	600 000 ®	peper	peper	600		1658
5192	13 oct. 1680	5 lasten	rijs	rijst	12500	lb.	1680
5202	6 febr. 1654	59	slaven	slaven	59		1654
5204	6 febr. 1654	121 lasten	rijs	rijst	302500	lb.	1654
5207	25 nov. 1712	8	rijs	rijst	8		1712
5216	31 jan. 1672	2000 picols	peper	peper	250000	lb.	1672
5242	31 december 1758	163.713 lb.	thin	thin	163713	lb.	1758
5243	31 december 1758	887.215	sappanhout	sappanhout	887215		1758
5255	31 december 1758	250.000 ponden	thin	thin	250000	lb.	1758
5258	31 december 1758	3000 picols	thee	thee	375000	lb.	1758
5267	31 december 1758	2.537.402 lb.	salpeter	salpeter	2537		1758
5305	31 december 1758	28.800 lb.	indigo	indigo	28800	lb.	1758
5311	31 december 1758	1494,-	goud	goud	1494,		1758
5329	31 december 1758	600 lasten	rijs	rijst	1500000	lb.	1758
5330	31 december 1758	900 bharen	peeper	peper	450000	lb.	1758
5340	31 december 1758	5060 lasten	rijst	rijst	12650000	lb.	1758
5344	31 december 1758	2384 lb.	indigo	indigo	2384	lb.	1758
5353	31 december 1758	15 lb.	zijde	zijde	15	lb.	1758
5355	31 december 1758	177 lasten	rijst	rijst	442500	lb.	1758
5358	31 december 1758	12.300	peeper	peper	12300		1758
5359	31 december 1758	12.000	indigo	indigo	12000		1758
5367	31 december 1758	164.741	peeper	peper	164741		1758
5368	31 december 1758	152.389	sappanhout	sappanhout	152389		1758
5369	31 december 1758	84.431	salpeter	salpeter	84431		1758
5375	31 december 1758	9776	indigo	indigo	9776		1758
5376	31 december 1758	111.015	peeper	peper	111015		1758
5380	31 december 1758	310 balen	canneel	kaneel	62000	lb.	1758
5383	31 december 1758	17.500	peeper	peper	17500		1758
5386	31 december 1758	35.342 „	peeper	peper	35342		1758
5388	31 december 1758	3781 „	indigo	indigo	3781		1758
5392	26 nov. 1714	80 lb.en	rijs	rijst	80	lb.	1714
5394	26 nov. 1714	4000 picols	peper	peper	500000	lb.	1714
5403	18 dec. 1639	455 lasten	peper	peper	1137500	lb.	1639
5411	18 dec. 1639	600 picols	peper	peper	75000	lb.	1639
5412	18 dec. 1639	200 picols	peper	peper	25000	lb.	1639
5413	18 dec. 1639	130 lasten	peper	peper	325000	lb.	1639
5418	18 dec. 1639	542 balen	sijde	sijde	108400	lb.	1639
5420	18 dec. 1639	200	sijde	sijde	200		1639
5423	18 dec. 1639	300 balen	sijde	sijde	60000	lb.	1639
5433	18 dec. 1639	470 balen	sijde	sijde	94000	lb.	1639
5434	18 dec. 1639	3648 picols	peper	peper	456000	lb.	1639
5438	18 dec. 1639	52 catty	thin	thin	65.0	lb.	1639
5443	18 dec. 1639	3723	nagelen	nagelen	3723		1639
5455	18 dec. 1639	8000 picols	peper	peper	1000000	lb.	1639
5456	18 dec. 1639	200 lasten	peper	peper	500000	lb.	1639
5458	18 dec. 1639	1200 picols	peper	peper	150000	lb.	1639
5462	18 dec. 1639	150 lasten	peper	peper	375000	lb.	1639
5464	18 dec. 1639	1600 man	salpeter	salpeter	80000	lb.	1639
5472	18 dec. 1639	150 lasten	peper	peper	375000	lb.	1639
5474	18 dec. 1639	100 p.ls	peper	peper	12500	lb.	1639
5476	18 dec. 1639	1000 picols	peper	peper	125000	lb.	1639
5478	18 dec. 1639	200 schuyten	silver	silver	200	schuit	1639
5479	18 dec. 1639	2 3)ende	rijs	rijst	2		1639
5481	5 juli 1677	115 lasten	rijs	rijst	287500	lb.	1677
5482	5 juli 1677	250 bharen	thin	thin	125000	lb.	1677
5484	5 juli 1677	260 lasten	rijs	rijst	650000	lb.	1677
5487	5 juli 1677	260 lasten	rijs	rijst	650000	lb.	1677
5488	5 juli 1677	600 lasten	rijs	rijst	1500000	lb.	1677
5490	13 febr. 1677	1500 teyl swaarte	zijde	zijde	112.5	lb.	1677
5534	30 nov. 1705	1610	canneel	kaneel	1610		1705
5541	18 oct. 1668	10	slaven	slaven	10		1668
5552	9 juli 1645	200 picol	peper	peper	25000	lb.	1645
5553	1 febr. 1656	800 lasten	rijs	rijst	2000000	lb.	1656
5554	1 febr. 1656	700 packen	sijde	sijde	700	pakken	1656
5557	1 febr. 1656	400 picols	peper	peper	50000	lb.	1656
5559	1 febr. 1656	25 lasten	rijs	rijst	62500	lb.	1656
5572	1 febr. 1656	300 balen	zijde	zijde	60000	lb.	1656
5576	15 dec. 1633	1727	nagelen	nagelen	1727		1633
5578	15 dec. 1633	70 lasten	rijs	rijst	175000	lb.	1633
5579	15 dec. 1633	1000 picol	nagelen	nagelen	125000	lb.	1633
5581	15 dec. 1633	187 cattij	peper	peper	233.75	lb.	1633
5583	15 dec. 1633	600 bharen	peper	peper	300000	lb.	1633
5584	15 dec. 1633	500 bharen	peper	peper	250000	lb.	1633
5588	15 dec. 1633	9000 picol	peper	peper	1125000	lb.	1633
5601	30 dec. 1638	200 lasten	peper	peper	500000	lb.	1638
5603	30 dec. 1638	200 000 taylen	silver	silver	200		1638
5606	30 dec. 1638	1300 picol	peper	peper	162500	lb.	1638
5610	30 dec. 1638	1259 kisten	silver	silver	1259	kisten	1638
5612	30 dec. 1638	1000 picols	sijde	sijde	125000	lb.	1638
5613	5 oct. 1667	1000 picol	peper	peper	125000	lb.	1667
5615	5 oct. 1667	700 lasten	salpeter	salpeter	1750000	lb.	1667
5616	5 oct. 1667	500 lasten	peper	peper	1250000	lb.	1667
5618	5 oct. 1667	300 cargas	sijde	sijde	126900	lb.	1667
5626	13 maart 1688	4000 thailen	silver	silver	300.0	lb.	1688
5627	13 maart 1688	2000 picols	peper	peper	250000	lb.	1688
5629	13 maart 1688	18799 697	goud	goud	18799		1688
5633	15 aug. 1634	235	sijde	sijde	235		1634
5638	15 aug. 1634	200 lasten	peper	peper	500000	lb.	1634
5639	15 aug. 1634	700 picol	peper	peper	87500	lb.	1634
5640	15 aug. 1634	100 picol	peper	peper	12500	lb.	1634
5642	15 aug. 1634	50 picol	peper	peper	6250	lb.	1634
5645	30 jan. 1662	18 lasten	rijs	rijst	45000	lb.	1662
5648	12 jan. 1639	90 bharen	peper	peper	45000	lb.	1639
5650	12 oktober 1746	353 lb.	indigo	indigo	353	lb.	1746
5653	12 oktober 1746	16.539 bossen	rijs	rijst	16539	bossen	1746
5654	12 oktober 1746	137 lasten	rijst	rijst	342500	lb.	1746
5655	12 oktober 1746	90§ lasten	rijs	rijst	90		1746
5656	12 oktober 1746	15.000 bossen	padij	padij	15000	bossen	1746
5657	12 oktober 1746	30 lasten	rijst	rijst	75000	lb.	1746
5658	12 oktober 1746	239.250 lb.	rijs	rijst	239250	lb.	1746
5659	12 oktober 1746	1250 picols	thin	thin	156250	lb.	1746
5662	12 oktober 1746	2338 picols	thin	thin	292250	lb.	1746
5663	12 oktober 1746	12.000 picols	peper	peper	1500000	lb.	1746
5664	12 oktober 1746	2000	thin	thin	2000		1746
5667	12 oktober 1746	2309 picols	thin	thin	288625	lb.	1746
5668	12 oktober 1746	19.000]% picols	peper	peper	19000		1746
5669	12 oktober 1746	7883]% picols	thin	thin	7883		1746
5671	12 oktober 1746	800.000 lb.	sappanhout	sappanhout	800000	lb.	1746
5672	12 oktober 1746	92.253 lb.	thin	thin	92253	lb.	1746
5678	12 oktober 1746	71.373 lb.	sappanhout	sappanhout	71373	lb.	1746
5684	12 oktober 1746	15.000 kisten	koper	koper	15000	kisten	1746
5685	12 oktober 1746	12.000 kisten staafkoper	koper	koper	12000	kisten	1746
5688	12 oktober 1746	46.000 lb.	thin	thin	46000	lb.	1746
5689	12 oktober 1746	35.854 lb.	thin	thin	35854	lb.	1746
5690	12 oktober 1746	20.650 lb.	thin	thin	20650	lb.	1746
5692	12 oktober 1746	778 lb.	peper	peper	778	lb.	1746
5694	12 oktober 1746	200 bharen	thin	thin	100000	lb.	1746
5712	12 oktober 1746	4450 sacken	salpeter	salpeter	4450	zakken	1746
5713	12 oktober 1746	611.361 lb.	peper	peper	611361	lb.	1746
5724	12 oktober 1746	280 lasten	rijst	rijst	700000	lb.	1746
5729	12 oktober 1746	308 lb.	foelij	foelij	308	lb.	1746
5740	12 oktober 1746	308 lb.	foelij	foelij	308	lb.	1746
5749	12 oktober 1746	328 lasten	rijst	rijst	820000	lb.	1746
5768	12 oktober 1746	20.000 lb.	peper	peper	20000	lb.	1746
5770	12 oktober 1746	100 lb.	nagelen	nagelen	100	lb.	1746
5772	12 oktober 1746	45.870 lb.	thin	thin	45870	lb.	1746
5786	12 oktober 1746	10.000 lb.	sappanhout	sappanhout	10000	lb.	1746
5799	12 oktober 1746	7000 lb.	indigo	indigo	7000	lb.	1746
5801	12 oktober 1746	450 lasten	rijs	rijst	1125000	lb.	1746
5812	12 oktober 1746	ƒ40.800,5,-	goud	goud	40800		1746
5813	12 oktober 1746	161 lb. ponden	foelij	foelij	161	lb.	1746
5815	12 oktober 1746	25 lb.	peper	peper	25	lb.	1746
5818	12 oktober 1746	73.776 lb.	sappanhout	sappanhout	73776	lb.	1746
5830	12 oktober 1746	25.000 picols	thee	thee	3125000	lb.	1746
5831	12 oktober 1746	6000 pees	zijde	zijde	6000	stuks	1746
5832	12 oktober 1746	2000 pees	thee	thee	2000	stuks	1746
5836	12 oktober 1746	1000 picols	thee	thee	125000	lb.	1746
5837	12 oktober 1746	10.000 kisten	koper	koper	10000	kisten	1746
5838	12 oktober 1746	16.000	koper	koper	16000		1746
5841	12 oktober 1746	1.000 picols	koper	koper	125000	lb.	1746
5843	12 oktober 1746	1.000 picols	koper	koper	125000	lb.	1746
5844	12 oktober 1746	.000 picols	koper	koper	0	lb.	1746
5847	12 oktober 1746	100 catties	goud	goud	125.0	lb.	1746
5863	12 oktober 1746	21.000 sacken	salpeter	salpeter	21000	zakken	1746
5867	12 oktober 1746	300 lasten	rijst	rijst	750000	lb.	1746
5885	12 oktober 1746	100.000 lb.	peper	peper	100000	lb.	1746
5886	12 oktober 1746	15.000 lb.	sappanhout	sappanhout	15000	lb.	1746
5906	12 oktober 1746	80 balen	canneel	kaneel	16000	lb.	1746
5907	12 oktober 1746	1.900	rijs	rijst	1900		1746
5911	12 oktober 1746	800.077 lb.	sappanhout	sappanhout	800077	lb.	1746
5912	12 oktober 1746	49.484 lb.	thin	thin	49484	lb.	1746
5913	12 oktober 1746	250 lasten	rijs	rijst	625000	lb.	1746
5916	12 oktober 1746	6000 kisten	koper	koper	6000	kisten	1746
5918	12 oktober 1746	circa 150 lasten	rijs	rijst	375000	lb.	1746
5927	12 oktober 1746	200 coyangs	rijst	rijst	325000	lb.	1746
5931	12 oktober 1746	125.000 lb.	peper	peper	125000	lb.	1746
5934	12 oktober 1746	350.000 lb.	thin	thin	350000	lb.	1746
5935	12 oktober 1746	993.625 lb.	peper	peper	993625	lb.	1746
5936	12 oktober 1746	802.000 lb.	thin	thin	802000	lb.	1746
5937	12 oktober 1746	1.500.077 lb.	sappanhout	sappanhout	1500		1746
5945	12 oktober 1746	11.000 picols	koper	koper	1375000	lb.	1746
5947	12 oktober 1746	6000 picols	koper	koper	750000	lb.	1746
5948	12 oktober 1746	5000 kisten	koper	koper	5000	kisten	1746
5950	12 oktober 1746	1.000 kisten	koper	koper	1000	kisten	1746
5952	12 oktober 1746	5500 kisten	koper	koper	5500	kisten	1746
5956	12 oktober 1746	5500 kisten	koper	koper	5500	kisten	1746
5961	12 oktober 1746	11.000 picols	koper	koper	1375000	lb.	1746
5966	12 oktober 1746	6000 picols	goud	goud	750000	lb.	1746
5975	12 oktober 1746	20 picols	zijde	zijde	2500	lb.	1746
5984	12 oktober 1746	15 thailen	goud	goud	1.125	lb.	1746
5990	12 oktober 1746	5000 sacken	salpeter	salpeter	5000	zakken	1746
5997	12 oktober 1746	7.064 lb.	peper	peper	7064	lb.	1746
5998	12 oktober 1746	305 lb.	peper	peper	305	lb.	1746
6001	12 oktober 1746	5000 sacken	rijst	rijst	5000	zakken	1746
6003	12 oktober 1746	940 balen	canneel	kaneel	188000	lb.	1746
6004	12 oktober 1746	46 1	rijst	rijst	46		1746
6009	12 oktober 1746	2 lb.	foelij	foelij	2	lb.	1746
6016	12 oktober 1746	88.087 lb.	sappanhout	sappanhout	88087	lb.	1746
